Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.6821E-5,15.754348888,0.317085564,0.311963048,0.144957983,0.150943396
9.82752E-5,16.008198057,0.320322611,0.309561201,0.148109244,0.150943396
9.99667E-5,16.256051907,0.324049213,0.307251732,0.149159664,0.160377358
1.01301E-4,16.507333994,0.32696104,0.304942263,0.153361345,0.169811321
1.02262E-4,16.751487895,0.329040716,0.302725173,0.161764706,0.169811321
1.03589E-4,17.009134769,0.331893315,0.300415704,0.167016807,0.169811321
1.04718E-4,17.258903548,0.334301833,0.298198614,0.172268908,0.169811321
1.06042E-4,17.501238984,0.337104248,0.296073903,0.173319328,0.169811321
1.07354E-4,17.75721553,0.339856643,0.293856813,0.176470588,0.169811321
1.08202E-4,18.005196239,0.34162397,0.291732102,0.179621849,0.169811321
1.09195E-4,18.255090623,0.343683333,0.28960739,0.183823529,0.169811321
1.1074E-4,18.508456667,0.346857582,0.287482679,0.18592437,0.169811321
1.11871E-4,18.753436054,0.349163546,0.285450346,0.18907563,0.169811321
1.12978E-4,19.000653636,0.35140553,0.283418014,0.191176471,0.169811321
1.14188E-4,19.250633571,0.353836724,0.281385681,0.195378151,0.188679245
1.15416E-4,19.503462161,0.356285789,0.279353349,0.199579832,0.188679245
1.16346E-4,19.758411878,0.358128812,0.277321016,0.203781513,0.188679245
1.17244E-4,20.003637501,0.359898595,0.275381062,0.204831933,0.188679245
1.18318E-4,20.251062993,0.362002273,0.273441109,0.205882353,0.198113208
1.19262E-4,20.500305828,0.36383996,0.271501155,0.211134454,0.198113208
1.2066E-4,20.752130602,0.366541157,0.269561201,0.213235294,0.198113208
1.21988E-4,21.007107363,0.369085415,0.267621247,0.213235294,0.20754717
1.23279E-4,21.252623704,0.371541766,0.265773672,0.213235294,0.235849057
1.24285E-4,21.500308253,0.373441398,0.263926097,0.214285714,0.235849057
1.25543E-4,21.762469048,0.375799875,0.261986143,0.216386555,0.235849057
1.26731E-4,22.002118716,0.37801166,0.260230947,0.221638655,0.235849057
1.27996E-4,22.257134652,0.380350371,0.258383372,0.222689076,0.235849057
1.29623E-4,22.501988551,0.383331691,0.256628176,0.225840336,0.235849057
1.30819E-4,22.762655198,0.385504852,0.2547806,0.228991597,0.235849057
1.32251E-4,23.012446884,0.388087429,0.253025404,0.230042017,0.245283019
1.3361E-4,23.251763323,0.390518129,0.251362587,0.231092437,0.254716981
1.34731E-4,23.506536373,0.392508735,0.24960739,0.232142857,0.264150943
1.35956E-4,23.750312891,0.394668109,0.247944573,0.233193277,0.264150943
1.37537E-4,24.010291111,0.39743368,0.246189376,0.234243697,0.264150943
1.38971E-4,24.259371023,0.399920083,0.244526559,0.235294118,0.264150943
1.39903E-4,24.510465074,0.401526141,0.242863741,0.235294118,0.264150943
1.40667E-4,24.76287062,0.40283552,0.241200924,0.237394958,0.273584906
1.41999E-4,25.00307952,0.40510479,0.239630485,0.238445378,0.273584906
1.43498E-4,25.260316413,0.407637886,0.237967667,0.241596639,0.273584906
1.44471E-4,25.505226901,0.409269707,0.236397229,0.241596639,0.273584906
1.45841E-4,25.752257944,0.411554815,0.23482679,0.242647059,0.273584906
1.46641E-4,26.000842718,0.412880196,0.233256351,0.245798319,0.273584906
1.47702E-4,26.250982126,0.414628359,0.231685912,0.246848739,0.273584906
1.48966E-4,26.503060801,0.416698325,0.230115473,0.24789916,0.273584906
1.49984E-4,26.75729671,0.418353601,0.228545035,0.25210084,0.283018868
1.51641E-4,27.013855819,0.421029979,0.226974596,0.254201681,0.301886792
1.52747E-4,27.257437128,0.42280301,0.225496536,0.257352941,0.301886792
1.53454E-4,27.502323347,0.423930038,0.224018476,0.257352941,0.301886792
1.54329E-4,27.764154614,0.425318747,0.222448037,0.258403361,0.301886792
1.55261E-4,28.011999569,0.426791731,0.220969977,0.260504202,0.301886792
1.56447E-4,28.261791466,0.428654114,0.219491917,0.260504202,0.301886792
1.57583E-4,28.513227092,0.430426454,0.218013857,0.260504202,0.301886792
1.58643E-4,28.75040636,0.432070624,0.216628176,0.264705882,0.301886792
1.59993E-4,29.005468658,0.434151093,0.215150115,0.268907563,0.301886792
1.61199E-4,29.262562387,0.435997756,0.213672055,0.272058824,0.301886792
1.62205E-4,29.5052572,0.437527802,0.212286374,0.273109244,0.301886792
1.63112E-4,29.765516056,0.43890049,0.210808314,0.276260504,0.311320755
1.64658E-4,30.011232602,0.441224724,0.209422633,0.278361345,0.311320755
1.65802E-4,30.258986575,0.442933652,0.208036952,0.279411765,0.311320755
1.6663E-4,30.508357622,0.444162492,0.20665127,0.280462185,0.311320755
1.67729E-4,30.759233821,0.445786231,0.205265589,0.281512605,0.311320755
1.68738E-4,31.011857441,0.447267974,0.203879908,0.281512605,0.311320755
1.70089E-4,31.266070526,0.449239814,0.202494226,0.285714286,0.311320755
1.70816E-4,31.504766362,0.450296347,0.201200924,0.289915966,0.311320755
1.72191E-4,31.762132579,0.452280674,0.199815242,0.292016807,0.311320755
1.73212E-4,32.004017619,0.453746796,0.19852194,0.295168067,0.311320755
1.74031E-4,32.264480138,0.454915425,0.197136259,0.296218487,0.311320755
1.74884E-4,32.508763622,0.456128587,0.195842956,0.296218487,0.311320755
1.7585E-4,32.754295148,0.457494663,0.194549654,0.299369748,0.311320755
1.76803E-4,33.001143184,0.458836853,0.193256351,0.303571429,0.320754717
1.77706E-4,33.266933522,0.46010224,0.19187067,0.306722689,0.320754717
1.78543E-4,33.516151887,0.461270051,0.190577367,0.307773109,0.320754717
1.798E-4,33.766996367,0.463014091,0.189284065,0.30987395,0.330188679
1.80723E-4,34.001420798,0.464286874,0.188083141,0.31512605,0.330188679
1.81596E-4,34.255394999,0.46548586,0.186789838,0.322478992,0.330188679
1.82897E-4,34.510701592,0.467262527,0.185496536,0.326680672,0.330188679
1.83837E-4,34.76733717,0.468537959,0.184203233,0.328781513,0.339622642
1.85168E-4,35.007196086,0.470334873,0.183002309,0.334033613,0.339622642
1.85967E-4,35.267088668,0.471407778,0.181709007,0.335084034,0.339622642
1.86925E-4,35.509651193,0.472688511,0.180508083,0.335084034,0.339622642
1.87765E-4,35.753390174,0.473807044,0.179307159,0.336134454,0.339622642
1.8903E-4,36.01727748,0.47548083,0.178013857,0.336134454,0.349056604
1.89814E-4,36.263629576,0.476513199,0.176812933,0.337184874,0.349056604
1.91074E-4,36.511267328,0.478163264,0.175612009,0.339285714,0.358490566
1.92674E-4,36.760604946,0.480244781,0.174411085,0.342436975,0.358490566
1.93981E-4,37.012288651,0.481932571,0.173210162,0.343487395,0.358490566
1.95159E-4,37.265469563,0.483444461,0.172009238,0.348739496,0.377358491
1.96335E-4,37.500178662,0.484944534,0.170900693,0.351890756,0.386792453
1.97672E-4,37.756348939,0.486639959,0.169699769,0.353991597,0.386792453
1.98967E-4,38.013944483,0.488270927,0.168498845,0.357142857,0.386792453
2.00076E-4,38.25320894,0.489660793,0.1673903,0.360294118,0.386792453
2.00865E-4,38.513813549,0.490644119,0.166189376,0.361344538,0.386792453
2.01984E-4,38.755492731,0.492032166,0.165080831,0.364495798,0.386792453
2.03143E-4,39.018742661,0.493462355,0.163879908,0.366596639,0.386792453
2.03799E-4,39.262925588,0.494268856,0.162771363,0.369747899,0.386792453
2.05175E-4,39.50862863,0.495950359,0.161662818,0.37289916,0.396226415
2.06284E-4,39.755357937,0.497298216,0.160554273,0.37394958,0.396226415
2.07369E-4,40.003579247,0.498609721,0.159445727,0.379201681,0.396226415
2.0858E-4,40.25298272,0.500065324,0.158337182,0.381302521,0.405660377
2.09858E-4,40.503955516,0.501592448,0.157228637,0.382352941,0.405660377
2.11068E-4,40.756517297,0.503029955,0.156120092,0.385504202,0.405660377
2.12211E-4,41.010493667,0.504379584,0.155011547,0.388655462,0.405660377
2.13281E-4,41.265754569,0.505636691,0.153903002,0.391806723,0.405660377
2.14182E-4,41.501042758,0.506690409,0.152886836,0.397058824,0.405660377
2.1582E-4,41.758987625,0.508595125,0.151778291,0.402310924,0.41509434
2.16936E-4,42.018688929,0.509883733,0.150669746,0.403361345,0.424528302
2.17892E-4,42.257944412,0.510983204,0.14965358,0.406512605,0.424528302
2.18874E-4,42.520108802,0.512105882,0.148545035,0.411764706,0.424528302
2.19816E-4,42.761435913,0.51317912,0.147528868,0.413865546,0.424528302
2.20433E-4,43.00354812,0.513879182,0.146512702,0.414915966,0.424528302
2.21411E-4,43.268726686,0.514985812,0.145404157,0.417016807,0.424528302
2.21996E-4,43.512597932,0.515644765,0.144387991,0.421218487,0.424528302
2.22894E-4,43.757311053,0.516651962,0.143371824,0.424369748,0.424528302
2.24131E-4,44.003138035,0.518034473,0.142355658,0.425420168,0.424528302
2.25465E-4,44.250503426,0.519516452,0.141339492,0.428571429,0.424528302
2.27134E-4,44.522256014,0.521356776,0.140230947,0.432773109,0.433962264
2.28064E-4,44.772687454,0.522376357,0.139214781,0.43487395,0.433962264
2.28808E-4,45.001129222,0.523188333,0.138290993,0.43802521,0.433962264
2.30008E-4,45.253594252,0.52449385,0.137274827,0.44012605,0.433962264
2.31177E-4,45.507204724,0.525757681,0.136258661,0.445378151,0.433962264
2.32608E-4,45.762592617,0.527295581,0.135242494,0.448529412,0.433962264
2.33446E-4,46.019067344,0.528192597,0.134226328,0.453781513,0.433962264
2.33894E-4,46.252764991,0.528669975,0.13330254,0.456932773,0.433962264
2.34728E-4,46.510526932,0.529556627,0.132286374,0.460084034,0.433962264
2.36303E-4,46.769616919,0.531222762,0.131270208,0.462184874,0.433962264
2.37641E-4,47.006633675,0.532628292,0.13034642,0.466386555,0.433962264
2.38924E-4,47.268894016,0.533968145,0.129330254,0.471638655,0.452830189
2.39873E-4,47.508386015,0.534954732,0.128406467,0.474789916,0.452830189
2.407E-4,47.772668977,0.535811443,0.1273903,0.477941176,0.452830189
2.42012E-4,48.01405643,0.537162771,0.126466513,0.482142857,0.452830189
2.42898E-4,48.256551667,0.53807144,0.125542725,0.484243697,0.452830189
2.45055E-4,48.500449425,0.540267912,0.124618938,0.486344538,0.452830189
2.46784E-4,48.771001499,0.542013587,0.123602771,0.489495798,0.452830189
2.4769E-4,49.018230829,0.542922929,0.122678984,0.493697479,0.462264151
2.49433E-4,49.266991185,0.544662805,0.121755196,0.496848739,0.471698113
2.50031E-4,49.516759402,0.5452562,0.120831409,0.49894958,0.481132075
2.51751E-4,49.767756157,0.546955735,0.119907621,0.50105042,0.481132075
2.53359E-4,50.020220189,0.548533088,0.118983834,0.503151261,0.481132075
2.54774E-4,50.274420929,0.549912055,0.118060046,0.506302521,0.5
2.55549E-4,50.504062829,0.55066352,0.117228637,0.510504202,0.5
2.57052E-4,50.760297295,0.552114529,0.11630485,0.517857143,0.5
2.5795E-4,51.017982985,0.552976682,0.115381062,0.521008403,0.5
2.59752E-4,51.250837509,0.554696506,0.114549654,0.523109244,0.5
2.6114E-4,51.511240531,0.556012314,0.113625866,0.529411765,0.5
2.61767E-4,51.772739761,0.5566048,0.112702079,0.530462185,0.5
2.63675E-4,52.009342239,0.558395782,0.11187067,0.531512605,0.5
2.64717E-4,52.273555834,0.55936899,0.110946882,0.536764706,0.5
2.66124E-4,52.512649948,0.560674901,0.110115473,0.539915966,0.5
2.67386E-4,52.752799199,0.561839925,0.109284065,0.542016807,0.5
2.69045E-4,53.021069741,0.563362176,0.108360277,0.550420168,0.509433962
2.70106E-4,53.263813301,0.564329761,0.107528868,0.554621849,0.509433962
2.71539E-4,53.50758008,0.565630113,0.10669746,0.55987395,0.509433962
2.72799E-4,53.752656309,0.566766894,0.105866051,0.56092437,0.509433962
2.73699E-4,54.025785924,0.567575772,0.104942263,0.56512605,0.509433962
2.75797E-4,54.273039023,0.569448647,0.104110855,0.569327731,0.518867925
2.77119E-4,54.521920412,0.570620754,0.103279446,0.572478992,0.518867925
2.78426E-4,54.772084228,0.57177392,0.102448037,0.574579832,0.518867925
2.79406E-4,55.023221178,0.57263392,0.101616628,0.577731092,0.518867925
2.80035E-4,55.275032799,0.573183801,0.100785219,0.579831933,0.518867925
2.82034E-4,55.527898315,0.574923318,0.099953811,0.582983193,0.528301887
2.84225E-4,55.75443083,0.576813286,0.099214781,0.587184874,0.528301887
2.85311E-4,56.010716931,0.577743469,0.098383372,0.590336134,0.528301887
2.8663E-4,56.268283288,0.578868285,0.097551963,0.594537815,0.528301887
2.89086E-4,56.527256672,0.580947448,0.096720554,0.594537815,0.537735849
2.90697E-4,56.759298541,0.58229919,0.095981524,0.597689076,0.537735849
2.91712E-4,57.021538506,0.583146528,0.095150115,0.599789916,0.537735849
2.92413E-4,57.255223865,0.583730197,0.094411085,0.602941176,0.547169811
2.94676E-4,57.51931936,0.585602409,0.093579677,0.607142857,0.547169811
2.95598E-4,57.755572995,0.586360173,0.092840647,0.610294118,0.547169811
2.97261E-4,58.022472311,0.587720513,0.092009238,0.613445378,0.547169811
2.98103E-4,58.260721156,0.588405237,0.091270208,0.613445378,0.547169811
2.98987E-4,58.529481509,0.589122111,0.090438799,0.616596639,0.547169811
3.00219E-4,58.769243697,0.590117171,0.089699769,0.616596639,0.556603774
3.01253E-4,59.009912116,0.590948585,0.088960739,0.616596639,0.556603774
3.0368E-4,59.251768311,0.592887307,0.088221709,0.619747899,0.575471698
3.04569E-4,59.525563407,0.593592223,0.0873903,0.62394958,0.575471698
3.05374E-4,59.76963622,0.594228566,0.08665127,0.628151261,0.575471698
3.06631E-4,60.014454698,0.59521941,0.08591224,0.629201681,0.575471698
3.07849E-4,60.260323829,0.596173895,0.08517321,0.631302521,0.575471698
3.08983E-4,60.507147417,0.597058956,0.08443418,0.633403361,0.575471698
3.11014E-4,60.754940854,0.598634276,0.08369515,0.634453782,0.575471698
3.11657E-4,61.004016469,0.599129819,0.08295612,0.637605042,0.58490566
3.12426E-4,61.253693831,0.599721788,0.08221709,0.639705882,0.58490566
3.13328E-4,61.504022119,0.600414015,0.08147806,0.643907563,0.594339623
3.14361E-4,61.75513956,0.601203219,0.08073903,0.644957983,0.594339623
3.15445E-4,62.007163388,0.602028446,0.08,0.649159664,0.594339623
3.16841E-4,62.260288709,0.603085245,0.07926097,0.651260504,0.594339623
3.18224E-4,62.514277757,0.604127913,0.07852194,0.652310924,0.594339623
3.19118E-4,62.769182678,0.604798682,0.07778291,0.656512605,0.594339623
3.20136E-4,63.025017549,0.605559264,0.07704388,0.659663866,0.594339623
3.21163E-4,63.2816427,0.606324483,0.07630485,0.663865546,0.594339623
3.22107E-4,63.506725334,0.607024706,0.075658199,0.665966387,0.594339623
3.23906E-4,63.765413815,0.608352249,0.074919169,0.668067227,0.613207547
3.24759E-4,64.024961927,0.608978616,0.074180139,0.669117647,0.613207547
3.25407E-4,64.252522504,0.60945314,0.073533487,0.671218487,0.613207547
3.26432E-4,64.513335269,0.610201668,0.072794457,0.674369748,0.622641509
3.2763E-4,64.774903204,0.611072412,0.072055427,0.677521008,0.622641509
3.28115E-4,65.00448483,0.611424189,0.071408776,0.678571429,0.632075472
3.29103E-4,65.267405584,0.612137976,0.070669746,0.681722689,0.632075472
3.30315E-4,65.531194997,0.613010982,0.069930716,0.683823529,0.632075472
3.3131E-4,65.762720617,0.613724266,0.069284065,0.68487395,0.632075472
3.32146E-4,66.028298968,0.614321461,0.068545035,0.68802521,0.632075472
3.33321E-4,66.261207269,0.615157294,0.067898383,0.68907563,0.641509434
3.34263E-4,66.528329465,0.615825085,0.067159353,0.691176471,0.641509434
