X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-426917.14,351941.3605,train,2.524226722956492E-4,53.45620198324625,0.7258566832691369
-882963.896,172856.2271,train,2.901396724094673E-4,61.79298500822084,0.7740562797359459
-412501.1716,-110520.6856,train,4.326158588656003E-4,87.01334045421208,0.8911633394914478
-699823.2884,926930.7903,train,2.069176115547499E-4,42.42728797278309,0.653825345246454
-1008599.689,785677.8794,train,6.023038027508E-4,94.91729313156095,0.9544002133340739
-1029111.849,-156365.4679,train,2.230806476675874E-4,46.690476017093076,0.6813543021657631
-1024126.168,118383.7717,train,5.620174959631237E-4,93.5302340605933,0.9439390061339337
-565852.4799,-253709.1959,train,1.3638742950974759E-4,24.709933172152745,0.5030283347562328
-1021849.606,83899.4048,train,7.520214989350733E-4,97.83802474418155,0.9788351873579033
-538501.8128,802707.2438,train,2.448338317324328E-4,51.53002279545096,0.7149806703965244
-852966.4777,-96899.9365,train,1.1524913540430102E-4,19.872128031594386,0.4461447040086236
-607526.4349,-259479.2219,train,1.5298179284359194E-4,28.58110377048229,0.5435596138513752
-954127.6586,777999.3327,train,3.325122978053043E-4,72.96565240902783,0.8181735422548722
-1093050.976,-49987.7351,train,2.468321486892533E-4,52.036705250253114,0.7178857420793474
-342819.3317,358654.0767,train,2.2810567263618334E-4,47.75879901653102,0.689458407117362
-86170.76,575047.3424,train,2.726931811058374E-4,57.52985315985754,0.7529157212730895
-909978.9545,49794.5614,train,9.256512133006808E-5,15.411294850518265,0.3778393167705645
-433581.2715,896008.1518,train,2.987741023719921E-4,64.35423952065248,0.7838398636627548
-1127159.195,1344235.897,train,2.194794534748497E-4,45.80253236648885,0.6754167050459476
-681922.0755,1720355.06,train,3.273556994011785E-5,5.648575560342954,0.15449957332182562
-702861.2627,1786887.645,train,3.228667438882828E-5,5.558414965053985,0.15255152435409858
-63032.5633,556477.6515,train,1.513185797908597E-4,28.253660890819862,0.539650973129973
-330710.6221,648700.814,train,1.6894847384099897E-4,32.44413090465402,0.5794341133797394
-1005621.091,-126486.7878,train,3.487270416181943E-4,76.7605814949016,0.8326773470777352
-483061.0053,759037.8348,train,4.023514616790315E-4,84.20040823573402,0.8728959823334352
-692217.9924,1774326.692,train,3.730086436654917E-5,6.498613520707956,0.17405877374617895
-847574.174,337374.9147,train,2.8466898279476817E-4,60.20157589612882,0.7676295835346468
-772451.4642,887474.9718,train,2.558325116860569E-4,54.25194738370916,0.7306074312856549
-1290213.932,1425069.5,train,1.2783804782282867E-4,22.935277066972937,0.48076143995330833
-1117630.334,-14978.1553,train,2.855285852972557E-4,60.38178070504601,0.7686513762593873
-975785.9263,720529.7512,train,3.5307105934996065E-4,77.50136621832063,0.8363625398064778
-491393.9003,666372.7922,train,4.910315804479204E-4,91.00406846141985,0.919330038492819
-1009331.138,75415.4424,train,7.215107805269204E-4,97.31964974563454,0.9752516108383105
-692105.1947,-249424.4364,train,3.0618108148370123E-4,66.16413775554659,0.7918943501440102
-508574.9564,90323.7438,train,2.078611289547962E-4,42.72049173873776,0.655495805448563
-471048.5568,765746.5108,train,3.0430463527436304E-4,65.76905138295741,0.7898827042454648
-856822.9867,328813.3237,train,2.493931949484898E-4,52.78803693097658,0.721565636700904
-663750.4308,1734969.471,train,3.3705656134711955E-5,5.825867344838917,0.15869412503796054
-907218.8056,-53902.8814,train,2.942565408584128E-4,63.00600528402191,0.7787750963615224
-1006482.386,69498.1372,train,7.023584360680226E-4,97.03347552772581,0.9726982881517919
-353329.1518,53759.7539,train,1.8230320144863352E-4,36.04993223589124,0.6072650336758976
-744066.903,567546.9152,train,3.4974260270573054E-4,76.88963186493336,0.8335462507037699
-933072.1254,-248228.5101,train,5.236404895212025E-4,92.27035571733221,0.9317492083995077
-435054.8056,682164.1343,train,2.644653240622427E-4,55.85045321460968,0.7422702554899281
-472286.5784,86294.6046,train,3.2690791422679836E-4,71.02528440462342,0.8128734931921142
-1046773.2,130445.3746,train,8.162905941080531E-4,98.23391056764041,0.98477636164375
-141491.9418,755981.6768,train,1.426600817364008E-4,26.275709589877135,0.5187558236084804
-924115.9004,717709.6927,train,3.7405203584516293E-4,81.20670388010083,0.8530504314477718
-1031393.679,-1030.5201,train,2.2211697648080018E-4,46.467702746177544,0.6797761419411639
-696918.1337,700271.7758,train,3.917774238132245E-4,83.20406120643732,0.8658154511766736
-73138.3881,575720.7344,train,1.420142372941893E-4,26.10350345180859,0.5171597478267391
-953706.0111,-66708.6034,train,3.171748232699605E-4,69.08619398438616,0.8032991833180609
-1045844.317,-146597.6539,train,3.002929382965117E-4,64.77708448551196,0.7855164951382253
-504764.7046,820750.3616,train,2.712446266766376E-4,57.149281655512404,0.7510739552894884
-1056588.601,55272.5047,train,2.1103232882917474E-4,43.618551450532415,0.6610514373008715
-985604.7409,102763.0281,train,3.6467949498609863E-4,79.76030022902339,0.8458170330801891
-347376.7186,876824.0121,train,1.6450778075116306E-4,31.318610656360896,0.5697495796512368
-1104746.624,-6769.2303,train,5.26668541644487E-4,92.44357093474326,0.9328005535289468
-961632.6315,-183788.2498,train,3.5564860994821744E-4,78.02894361308748,0.8385106893914349
-683026.73,1730469.284,train,3.6077248655697866E-5,6.2507118377310755,0.16886123178580692
-424706.8324,913086.6024,train,3.293536234943202E-4,72.02530557723533,0.8152051315332013
-98482.3874,643728.2596,train,1.4075240093097495E-4,25.809460653945173,0.5140260803034652
-765256.6791,895159.4213,train,2.654932845589706E-4,56.00092520666463,0.7436249394635057
-847377.9783,337032.559,train,3.0679413196560266E-4,66.27893696189396,0.7925473885309638
-980554.7907,124697.1077,train,4.7165253988127584E-4,89.50079235898568,0.9109037277732658
-480002.0434,683549.7578,train,4.1774109039450087E-4,85.77943990344136,0.8825388978439372
-992934.1491,121436.6562,train,6.193035143788434E-4,95.40448484611606,0.9582061159450989
-1103567.801,55782.768,train,1.8924180289162955E-4,37.85441072549298,0.6209899868620443
-771760.5107,141030.8837,train,2.1933134555608607E-4,45.76870363506969,0.6751701520741717
-905741.078,-277811.5667,train,6.107656780418777E-4,95.14363808477005,0.9563361188372439
-1026041.507,809026.0169,train,2.674335859523659E-4,56.21952809175705,0.746162565457057
-447227.9822,172572.0672,train,1.5435113967964171E-4,28.884297316498476,0.54675273127558
-978670.2892,856622.0207,train,4.6369617167601736E-4,89.03413532504342,0.9071943343461926
-820046.8327,-179040.6044,train,0.0012633976931126774,99.50460437122007,0.9984617435916754
-832745.5201,344953.6477,train,1.896630905539271E-4,37.933312950869244,0.6218077008237028
-579752.7474,672472.6235,train,2.7891768136029295E-4,58.94435043643963,0.7606760384112623
-987024.4691,255993.2176,train,1.58375581811577E-4,29.898528458657285,0.556008430960719
-320034.3512,848836.3718,train,3.3450695481296566E-4,73.39532268065959,0.8200234392116734
-846326.5276,332962.587,train,1.8753407147565544E-4,37.44867803653321,0.6176571528316833
-1080568.436,-183321.4124,train,1.9846235587807242E-4,40.10182183558769,0.63848942690658
-981793.1045,125638.4257,train,6.142254288562363E-4,95.26526313539458,0.9571037669117329
-693903.1194,999412.3529,train,1.837256204233004E-4,36.40923750209742,0.6101185834805327
-229617.0926,758359.1802,train,1.9738994974373167E-4,39.83835388043048,0.6364963887723938
-232647.661,-383334.9608,train,9.183179720876712E-5,15.292649560709949,0.375495864718019
-998497.2554,697130.4214,train,3.329641647296046E-4,73.0792758830704,0.8185942742983976
-771819.1611,390609.45,train,2.0746515550460536E-4,42.586652794776704,0.6547957339747649
-1082578.243,-189158.8853,train,2.2597548884937112E-4,47.363896342389204,0.6860484308574353
-547222.5781,657491.0388,train,2.883554377517157E-4,61.028037295716366,0.7719800233727465
-895659.4099,878272.0383,train,3.627569041386468E-4,79.47869187607883,0.844289796671444
-1076874.281,-177298.7036,train,2.69285831376148E-4,56.68735193615249,0.7485615901222162
-20723.5379,-450128.848,train,1.0053617651298503E-4,16.80774305179031,0.40275172284044747
-903510.7839,-269452.1981,train,8.687128077415198E-4,98.5709334263051,0.988364106880149
-612177.8277,1564647.841,train,3.2562212502652896E-5,5.613756748450724,0.1537477942689609
-641294.606,860338.3143,train,3.065972368020041E-4,66.24377184736328,0.7923378740365514
-153778.4516,997393.3854,train,6.051057875919904E-5,10.656809715793704,0.2667156511657781
-151867.8538,-418778.8264,train,2.1977313046590982E-4,45.86960994166168,0.675905031323467
-888061.7335,1023651.414,train,1.2795090797618287E-4,22.965475859229084,0.4810617866376292
-562093.8648,-258090.6577,train,1.1412552246143664E-4,19.572825771735097,0.44294503230184556
-993965.4891,-213898.7925,train,3.2246771978113075E-4,70.09779624761116,0.8085649479575591
-51467.8063,521754.2343,train,3.119779345032185E-4,67.49860337262874,0.7979880304120566
-257553.7972,-466477.8368,train,9.997254650127988E-5,16.70075058839719,0.4010234291807505
-818392.9377,839974.142,train,5.226158927011251E-4,92.07051239717761,0.9313897548801416
-942601.3521,2330.8592,train,5.075321733227159E-4,91.41466634472464,0.9258735730445521
-176470.2356,-409092.3569,train,9.30199561669805E-5,15.484883062705608,0.37928839202330134
-1018652.964,103575.4787,train,7.390717243021611E-4,97.72312868096982,0.9773823609677126
-980459.5317,966615.5212,train,3.5666997550907396E-4,78.22361434239752,0.8393540811445255
-1054992.154,-49681.1224,train,1.5784117505268451E-4,29.755660145588,0.5547903318155001
-925368.9971,-311423.1629,train,7.383395794448976E-4,97.68438647522086,0.9772973058382504
-945443.571,-195334.9917,train,4.3537850664825264E-4,87.28622396607007,0.8926939677479793
-993701.4628,747981.2203,train,5.832572518917327E-4,94.21990574075538,0.949722902008466
-960449.2742,859174.2022,train,3.1354351760271964E-4,68.0023306333048,0.7996029555801561
-502842.9548,975501.9793,train,2.0074755058966152E-4,40.776310153937025,0.6427000231159543
-1142513.833,-36650.5211,train,1.2542747278285313E-4,22.297899567774287,0.4743046768964737
-905233.9102,-56887.8129,train,4.6277691833519584E-4,88.97074786380735,0.9067559304765818
-838358.9117,921784.573,train,2.910293508028801E-4,62.124547337105724,0.775084495268813
-966132.0162,987907.608,train,3.771200149340085E-4,81.66553770722416,0.8553436774490331
-844684.0601,792586.2776,train,3.7953902775994975E-4,81.91981124192185,0.8571265746289898
-300578.466,-349038.8409,train,1.474345420536446E-4,27.452607686499018,0.5303924294342234
