Predictor variable,Categorical,Sample average
humanmod_sept20,false,0.25051798533559616
mar_sept20,false,13.827510176764594
mcmt_sept20,false,-11.896907001886612
msp_sept20,false,258.04022626306255
mwmt_sept20,false,18.277412037971693
pas_sept20,false,120.960088573358
propgrass_sept20,false,0.60514019074209
proptree_sept20,false,0.16993311879283035
rugg_sept20,false,0.0051307625114578774
