variable,x,y
msp_sept20.asc,-245.3,0.0
msp_sept20.asc,-238.33280000000002,0.0
msp_sept20.asc,-231.3656,0.0
msp_sept20.asc,-224.3984,0.0
msp_sept20.asc,-217.43120000000002,0.0
msp_sept20.asc,-210.464,0.0
msp_sept20.asc,-203.4968,0.0
msp_sept20.asc,-196.52960000000002,0.0
msp_sept20.asc,-189.5624,0.0
msp_sept20.asc,-182.5952,0.0
msp_sept20.asc,-175.62800000000001,0.0
msp_sept20.asc,-168.6608,0.0
msp_sept20.asc,-161.6936,0.0
msp_sept20.asc,-154.7264,0.0
msp_sept20.asc,-147.7592,0.0
msp_sept20.asc,-140.792,0.0
msp_sept20.asc,-133.82479999999998,0.0
msp_sept20.asc,-126.8576,0.0
msp_sept20.asc,-119.8904,0.0
msp_sept20.asc,-112.92319999999998,0.0
msp_sept20.asc,-105.95600000000002,0.0
msp_sept20.asc,-98.9888,0.0
msp_sept20.asc,-92.02159999999998,0.0
msp_sept20.asc,-85.05440000000002,0.0
msp_sept20.asc,-78.0872,0.0
msp_sept20.asc,-71.11999999999998,0.0
msp_sept20.asc,-64.15280000000001,0.0
msp_sept20.asc,-57.185599999999994,0.0
msp_sept20.asc,-50.218399999999974,0.0
msp_sept20.asc,-43.25119999999998,0.0
msp_sept20.asc,-36.28399999999999,0.0
msp_sept20.asc,-29.3168,0.0
msp_sept20.asc,-22.34959999999998,0.0
msp_sept20.asc,-15.38239999999999,0.0
msp_sept20.asc,-8.415199999999999,0.0
msp_sept20.asc,-1.447999999999979,0.0
msp_sept20.asc,5.519200000000012,0.0
msp_sept20.asc,12.486400000000003,0.0
msp_sept20.asc,19.45360000000005,0.0
msp_sept20.asc,26.420800000000042,0.0
msp_sept20.asc,33.38799999999998,0.0
msp_sept20.asc,40.355200000000025,0.0
msp_sept20.asc,47.322400000000016,0.8231488466262817
msp_sept20.asc,54.28960000000001,0.8220496773719788
msp_sept20.asc,61.256800000000055,0.820945143699646
msp_sept20.asc,68.22400000000005,0.8198352456092834
msp_sept20.asc,75.19119999999998,0.8187200427055359
msp_sept20.asc,82.15840000000003,0.8175994157791138
msp_sept20.asc,89.12560000000002,0.8164734840393066
msp_sept20.asc,96.09280000000001,0.815342128276825
msp_sept20.asc,103.06000000000006,0.8142053484916687
msp_sept20.asc,110.0272,0.8130632638931274
msp_sept20.asc,116.99439999999998,0.8119156956672668
msp_sept20.asc,123.96160000000003,0.8107627630233765
msp_sept20.asc,130.92880000000002,0.8096044063568115
msp_sept20.asc,137.89600000000007,0.8084406852722168
msp_sept20.asc,144.86320000000006,0.8072714805603027
msp_sept20.asc,151.8304,0.8060968518257141
msp_sept20.asc,158.79760000000005,0.8049167990684509
msp_sept20.asc,165.76480000000004,0.803731381893158
msp_sept20.asc,172.73200000000003,0.8025404810905457
msp_sept20.asc,179.69920000000008,0.801344096660614
msp_sept20.asc,186.6664,0.8001423478126526
msp_sept20.asc,193.6336,0.798935055732727
msp_sept20.asc,200.60080000000005,0.7977223992347717
msp_sept20.asc,207.56800000000004,0.7965042591094971
