X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-641964.6407,995446.7775,train,3.4214662352713985E-4,83.10232085885917,0.6542566158446884
-906279.8783,-278305.692,train,4.8299563241313364E-4,94.52874492564794,0.7276180728340818
-748350.2392,563714.2054,train,4.4781750954951926E-4,92.72386303486897,0.7123754802346487
-207187.4268,750734.2609,train,1.5025020173118663E-4,26.194963168775264,0.45384808676122756
-249651.2885,-373874.4715,train,1.2500142779378287E-4,20.73217178579051,0.4087557581475328
-803996.0937,479543.6486,train,2.404569980087993E-4,54.1139832749791,0.5707972672055923
-790673.2054,882975.2391,train,2.632127453448878E-4,61.50409460867408,0.5927935942694804
-120729.8306,715153.6093,train,2.4226746647630794E-4,54.50844644042095,0.5726339554352172
-731583.8369,-250679.7749,train,2.8395904402210434E-4,69.2768725534972,0.6109704917300657
-515702.2813,-28866.6903,train,1.8767987922369166E-4,37.47021815528802,0.509324216473258
-963188.7139,293579.8762,train,1.435867587342771E-4,24.617665753974176,0.4426295010517786
-1046210.918,130695.8065,train,6.182173401607787E-4,98.28977433364764,0.7737141606084003
22306.7576,510114.0591,train,1.752296809193987E-4,33.379570318829835,0.4921658973435512
-1134250.801,1075750.551,train,6.682661157015944E-5,12.32287176994677,0.26985956997017463
-667659.6359,1761358.597,train,2.176334348254726E-5,3.767533374907432,0.10743536807467875
-924206.892,-44733.9462,train,4.8746452026923905E-4,94.74173384230377,0.7294395512992238
-848865.6709,333463.3865,train,2.3635454306780097E-4,52.98556130266604,0.5665764083399281
-693122.1143,1776678.231,train,2.8367465663159594E-5,5.296234187389352,0.1356155444712259
-553185.1797,804199.7926,train,3.5552586565769893E-4,85.39698152453434,0.6628814359660272
-1001811.628,821677.2898,train,4.12264643585346E-4,91.21826618572112,0.6951332866513883
-334920.4871,269826.6544,train,2.45597194267091E-4,55.61001530839041,0.5759711851356436
-1063728.989,854267.6186,train,7.04345395830271E-5,12.986509241199874,0.2803446275237727
-811365.2338,129203.3991,train,1.5863363860502185E-4,28.13318759611409,0.46733679138372025
-983194.3174,779385.5438,train,2.8117952397885716E-4,68.32838084356683,0.6086299199675438
-603177.8253,-181783.1658,train,2.3186450249458997E-4,51.86578726814995,0.5618605894519947
-823482.2241,-180330.2486,train,8.996815084307386E-4,99.51228108414152,0.8326609120131954
-845286.3132,788267.6904,train,3.121002234799128E-4,77.3131718144485,0.6331810072911233
-675072.2994,1782315.929,train,2.3349150493058194E-5,4.122484841335662,0.11436843005062902
-939715.815,883889.8808,train,3.271942965566235E-4,80.5945607679463,0.6440801528892801
-57558.6468,487351.8555,train,2.2785884807280526E-4,50.63964416696163,0.557566053669175
-864739.307,331780.6167,train,1.658341450200645E-4,30.09880871356683,0.47840135232267095
-708491.2941,1858893.5,train,2.3406506044187144E-5,4.138630935580461,0.11461716775914825
-439228.048,892149.1729,train,2.6289516816323634E-4,61.397090362092236,0.592502139470787
-880411.3693,-283998.0082,train,1.9827472055023145E-4,41.19247142375315,0.5230379250232415
-561761.0547,643141.9206,train,2.887610261674841E-4,71.15622001318808,0.6149488464184493
-579694.5041,-194429.5082,train,1.94130930165552E-4,39.936369620012265,0.5177665864532074
-911984.1692,-287850.6544,train,9.227822376618554E-4,99.5790571206476,0.8361637106853005
-26850.3888,455438.5249,train,1.8590763281764095E-4,36.839574745023604,0.5069529021661435
-1166328.52,1065104.725,train,7.052989609544587E-5,13.002878390733976,0.28061766149618694
-1028192.858,841821.2218,train,2.666928158355781E-4,62.74991779157138,0.5959603069452052
-740686.7884,561980.9566,train,5.12259071535328E-4,95.77426516834603,0.7391188791633873
